GEOID,total_claims,total_payout,years_with_claims,Q100yr_best,Q10yr_gev,best_model,n_obs,impervious_pct,median_income,COUNTY_NAME,exposure_idx,hazard_idx,imperv_idx,vuln_idx,risk_index
48161,5.0,160388.14,2,104505.98828220917,52934.87550086508,LP3,46.0,1.8198998361252303,55902,Freestone County,0.1,0.0,4.6,49.0,5.63
48083,0.0,0.0,0,99785.27105251906,876374.8566117625,LP3,78.0,0.7138130742589883,51034,Coleman County,0.0,0.0,1.7,53.6,5.62
48225,3.0,269477.53,2,109256.91294869821,19486708.358693853,LP3,54.0,0.7326170642202866,51043,Houston County,0.0,0.0,1.7,53.6,5.62
48349,5.0,14954.8,5,56934.54600989815,10985024.826249596,LP3,79.0,1.7884340667514933,56261,Navarro County,0.1,0.0,4.6,48.7,5.6
48449,2.0,1765.9,2,61790.232018494746,10359625.753676524,LP3,81.0,2.1556625762413533,57634,Titus County,0.0,0.0,5.5,47.5,5.58
48135,21.0,692388.6699999999,5,,,,,3.983743998421418,70566,Ector County,0.3,0.0,10.5,38.8,5.57
48481,80.0,2997091.49,5,132771.89912928877,5952165.733089256,LP3,82.0,1.4485020516490992,59712,Wharton County,1.0,0.0,3.7,45.8,5.54
48131,1.0,41635.0,1,,,,,0.4347880104524499,50697,Duval County,0.0,0.0,0.9,54.0,5.54
48219,4.0,8774.04,3,,,,,0.9850824125288308,53283,Hockley County,0.1,0.0,2.4,51.4,5.54
48179,0.0,0.0,0,23099.780596618963,1806467.900773917,LP3,28.0,1.3469042762622854,54563,Gray County,0.0,0.0,3.4,50.2,5.53
48091,20.0,252331.65999999997,3,162183.42416709894,4712554.02108172,LP3,108.0,6.281489409405683,93744,Comal County,0.3,0.0,16.6,29.2,5.53
48117,1.0,21071.3,1,10890.857912952968,261813.7171449289,LP3,39.0,0.6719489046660387,51942,Deaf Smith County,0.0,0.0,1.6,52.7,5.51
48213,12.0,343910.2,5,101781.96328530753,4585295.579115461,LP3,75.0,2.037404173238299,59778,Henderson County,0.2,0.0,5.2,45.8,5.44
48207,8.0,104890.01,4,6431.540594547744,6144958.955050745,LP3,24.0,0.6036314628561701,52786,Haskell County,0.1,0.0,1.4,51.9,5.44
48129,0.0,0.0,0,69187.80142783017,66193.19835463882,LP3,30.0,0.4630506664124121,51711,Donley County,0.0,0.0,1.0,52.9,5.44
48203,21.0,461563.38,3,32472.417451851157,2611597.579841803,LP3,24.0,2.542107244306863,63427,Harrison County,0.3,0.0,6.6,43.2,5.43
48067,2.0,24040.35,1,12521.251416225768,3607210.010405196,LP3,40.0,1.0079700346669551,54303,Cass County,0.0,0.0,2.5,50.4,5.42
48297,0.0,0.0,0,90207.58724914012,5774772.606192896,LP3,102.0,1.4014946015394356,55949,Live Oak County,0.0,0.0,3.5,48.9,5.42
48277,21.0,423678.37,6,84316.55379775699,112762125.32111932,LP3,65.0,1.5828812858680392,58246,Lamar County,0.3,0.0,4.0,47.0,5.42
