GEOID,n_obs,Q2yr_gev,Q10yr_gev,Q50yr_gev,Q100yr_gev,gev_shape,aic_gev,Q2yr_lp3,Q10yr_lp3,Q50yr_lp3,Q100yr_lp3,aic_lp3,Q100yr_best,best_model
48143,23,313.6848089448722,2260591.1135123395,79773120193.5933,6674482124184.927,-6.34029401601145,511.3058568416733,4030.941537439587,21175.457915354946,60428.14531773155,88284.28605040004,81.69326372508155,88284.28605040004,LP3
48145,81,57.8618222780613,3953624.206344994,122272963777.35838,9674861974517.432,-6.260332474779888,2084.3514073601086,19219.104613271833,73288.88329736934,108949.33334751907,118895.6312874508,284.3596768358118,118895.6312874508,LP3
48147,36,9717.083038489936,21122.350610610036,35526.983676915705,43265.370664940034,-0.2073499448977301,735.2118745306708,9716.506140372878,21710.087998930107,34932.162170230076,41253.823638861286,75.3985091400493,41253.823638861286,LP3
48149,46,3849.392270974228,14318139.91177866,1996909361917.2104,298717234022307.56,-7.172473433417483,1215.5200276507194,26938.53090583634,101264.50526246493,238298.06856442135,325780.3400569601,135.21460575270862,325780.3400569601,LP3
48151,60,25.866620133897435,133137.42699151425,610599327.8950241,21561542505.49975,-5.10480043383604,1118.7587515976195,679.0269597237802,4074.311293099544,10323.220322388885,13970.323319411367,226.18671039653603,13970.323319411367,LP3
48153,30,161.52084955135678,1424.7500354416316,6404.825898568151,11833.27321919328,-0.8643861122734298,473.34859101392425,298.45230605773327,1952.1394274559816,7561.993176032207,12716.568859423873,105.80015266887828,12716.568859423873,LP3
48155,59,471.3491910354584,8720551.809647715,1493433713848.228,243638365803535.38,-7.296662742723534,1310.9690287805083,3260.3823744117226,11230.951464275837,25240.097961866177,33992.26512539581,162.5551792893127,33992.26512539581,LP3
48157,98,331.4649689190158,24525864.059417363,5018309228465.533,882642775357869.0,-7.404395925403858,2735.260184176685,47942.851946046954,101004.28245538675,117319.71732010422,120153.87556474668,240.8983121262706,120153.87556474668,LP3
48159,61,918.9816663462532,3840650.056365642,677125457830.1791,111840495521548.23,-7.314372837112709,1637.620003346775,27601.308065838675,58697.0358598373,73034.09604686193,76571.89121391647,146.2600549506058,76571.89121391647,LP3
48161,46,12597.91176128737,52934.87550086508,161929.02985017793,256499.8878077735,-0.6446400091799773,1017.5939366989144,14262.93084089358,48105.1742008895,86859.00969479159,104505.98828220916,141.78339450186024,104505.98828220916,LP3
48163,91,58.50179334929328,2468917.389555282,54313608465.406395,3721213239541.6953,-6.054090858995339,2111.174943204506,5060.28935401675,32327.794080968637,81456.3269077549,109259.67502644856,349.53270420513394,109259.67502644856,LP3
48167,26,323.51416039656414,2977533.1664245273,120697172310.7666,10707919855442.47,-6.4242141587927115,585.6359622669731,4825.203036241088,16497.93229730449,30934.464289118412,37890.736273974995,82.17579423754832,37890.736273974995,LP3
48169,56,105.85223226756898,2667999.7200374654,107813836552.07571,9552089492745.7,-6.4222877759076695,1376.8095487835503,10402.47601161868,30757.916155153707,43962.655882423576,47886.53252749996,172.18265414097186,47886.53252749996,LP3
48171,50,51.929086400989874,2697128.3955694684,63255387470.1248,4452692725964.752,-6.092838160812885,1178.9002795542335,6887.034873087293,47125.312488645104,108502.25167164682,138319.15825455796,203.80597476688897,138319.15825455796,LP3
48175,81,105.2819616500385,6717981.890434742,534145085200.556,62999985080729.016,-6.832068267676599,2023.9238499943544,10316.601561997846,36938.07267453847,69802.06055427989,85460.30590740175,251.05872571815544,85460.30590740175,LP3
48177,75,103.12411826673237,4161026.879038683,133556352643.68285,10734935027913.65,-6.282825480288169,1884.9438182790352,12965.670085817836,72954.2503947079,166960.22334807692,215870.8544277757,280.9611772182442,215870.8544277757,LP3
48179,28,75.9448159636465,1806467.900773917,54808520533.426125,4301810434574.651,-6.248753276072296,565.4704976068347,1395.8556193067918,6671.408856506782,16754.10898358938,23099.780596618963,97.4236064046234,23099.780596618963,LP3
48181,36,315.34179941100666,2884479.2739815363,94721730571.84012,7687639501375.677,-6.296704484840396,763.5793274804147,2393.793854072218,8188.225644931796,17823.893470673047,23613.794469695586,102.90210709252004,23613.794469695586,LP3
